company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
THE NOMAD GROUP BHD,"NOMAD  
 ",31/12/2014,3,30/9/2014,6 Nov 2014  ,21936,21094,62954,57078,"2,283",679,"2,558","8,671","1,799",465,"1,469","6,249",2447296
TOMYPAK HOLDINGS BERHAD,"TOMYPAK  
 ",31/12/2014,3,30/9/2014,14 Nov 2014  ,51568,58304,158901,171100,"3,410","5,705","7,139","15,415","2,227","4,019","4,554","10,989",2447308
DKLS INDUSTRIES BHD,"DKLS  
 ",31/12/2014,3,30/9/2014,17 Nov 2014  ,59682,52602,153409,175873,"13,808","7,160","22,547","18,722","10,225","5,477","15,860","12,771",2447310
BORNEO OIL BERHAD,"BORNOIL  
 ",31/1/2015,2,31/7/2014,30 Sept 2014  ,19339,16062,27387,26068,"2,441","4,426",845,"3,911","2,441","4,391",845,"3,811",2447313
XINGQUAN INTERNATIONAL SPORTS HOLDINGS LIMITED,"XINQUAN  
 ",30/6/2015,1,30/9/2014,19 Nov 2014  ,171974,138292,171974,138292,"49,008","41,247","49,008","41,247","37,291","31,476","37,291","31,476",2447328
IMASPRO CORPORATION BERHAD,"IMASPRO  
 ",30/6/2015,1,30/9/2014,20 Nov 2014  ,18788,21654,18788,21654,"2,392","2,747","2,392","2,747","1,836","2,112","1,836","2,112",2447332
GABUNGAN AQRS BERHAD,"GBGAQRS  
 ",31/12/2014,3,30/9/2014,15 Nov 2014  ,133271,105456,412096,292185,"26,374","12,006","78,296","59,563","18,089","8,115","55,090","44,050",2447337
TUNE INS HOLDINGS BERHAD,"TUNEINS  
 ",31/12/2014,3,30/9/2014,17 Nov 2014  ,109510,98810,324972,282263,"15,664","20,074","53,524","53,015","16,924","17,623","51,953","50,169",2447345
GLOBETRONICS TECHNOLOGY BERHAD,"GTRONIC  
 ",31/12/2014,3,30/9/2014,28 Oct 2014  ,91074,79694,265115,242929,"21,834","18,645","59,656","47,508","17,694","15,186","49,092","39,519",2447346
BOON KOON GROUP BERHAD,"BKOON  
 ",31/3/2015,2,30/9/2014,26 Nov 2014  ,24391,25092,45455,44577,692,819,956,528,357,796,382,502,2447348
HWANG CAPITAL (MALAYSIA) BERHAD,"HWANG  
 ",31/7/2015,1,31/10/2014,26 Nov 2014  ,16616,132600,16616,132600,"13,647","25,817","13,647","25,817","11,201","18,697","11,201","18,697",2447363
CUSCAPI BERHAD,"CUSCAPI  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,11628,9710,38707,35861,"-3,853","-2,647","-6,705","-1,647","-3,877","-2,798","-6,656","-1,832",2447373
SCC HOLDINGS BERHAD,"SCC  
 ",31/12/2014,3,30/9/2014,24 Nov 2014  ,10817,9438,30806,28319,"2,010","1,396","5,305","4,118","1,447","1,031","3,896","3,036",2447384
ENGTEX GROUP BERHAD,"ENGTEX  
 ",31/12/2014,3,30/9/2014,25 Nov 2014  ,301824,263472,893394,812176,"19,676","15,472","56,199","55,898","14,333","11,400","41,562","41,781",2447385
HONG LEONG FINANCIAL GROUP BERHAD,"HLFG  
 ",30/6/2015,1,30/9/2014,25 Nov 2014  ,1083509,1172829,1083509,1172829,"746,993","812,576","746,993","812,576","591,874","637,369","591,874","637,369",2447394
OCB BERHAD,"OCB  
 ",31/12/2014,3,30/9/2014,21 Nov 2014  ,67683,62691,195361,204216,"1,242","2,080","5,830","6,894",525,"1,370","3,733","4,592",2447402
EVERGREEN FIBREBOARD BERHAD,"EVERGRN  
 ",31/12/2014,3,30/9/2014,21 Nov 2014  ,234488,233977,689815,686623,"11,983","-10,298","-12,479","-40,870","10,549","-11,299","-14,642","-41,940",2447404
AMFIRST REAL ESTATE INVESTMENT TRUST,"AMFIRST  
 ",31/3/2015,2,30/9/2014,21 Nov 2014  ,26903,27805,54392,56250,"10,654","12,268","21,271","25,351","10,654","12,268","21,271","25,351",2447406
TOYO INK GROUP BERHAD,"TOYOINK  
 ",31/3/2015,2,30/9/2014,25 Nov 2014  ,20681,23056,40952,44269,285,711,821,"1,154",214,503,586,805,2447408
MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,"MGRC  
 ",30/6/2015,1,30/9/2014,24 Nov 2014  ,2557,605,2557,605,498,"-1,728",498,"-1,728",497,"-1,736",497,"-1,736",2447409
TIGER SYNERGY BERHAD,"TIGER  
 ",30/6/2015,1,30/9/2014,25 Nov 2014  ,316,3715,316,3715,-693,"1,342",-693,"1,342",-693,"1,038",-693,"1,038",2447415
7-ELEVEN MALAYSIA HOLDINGS BERHAD,"SEM  
 ",31/12/2014,3,30/9/2014,21 Nov 2014  ,487284,436376,1411980,1250264,"23,994","12,860","63,673","48,390","17,125","8,193","45,158","33,629",2447416
PINTARAS JAYA BHD,"PTARAS  
 ",30/6/2015,1,30/9/2014,21 Nov 2014  ,64194,43380,64194,43380,"15,281","14,130","15,281","14,130","11,513","10,544","11,513","10,544",2447418
WINTONI GROUP BERHAD,"WINTONI  
 ",31/12/2014,3,30/9/2014,25 Nov 2014  ,4983,4385,18016,10876,668,37,"1,817","-1,568",690,37,"1,839","-1,568",2447419
LNG RESOURCES BERHAD,"LNGRES  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,13551,14394,43857,37264,-671,"2,165","1,064","4,496",-704,"1,651",734,"3,335",2447425
TA ANN HOLDINGS BERHAD,"TAANN  
 ",31/12/2014,3,30/9/2014,25 Nov 2014  ,284707,216814,742291,567023,"61,171","46,116","139,488","90,321","46,935","32,846","104,051","59,483",2447428
EURO HOLDINGS BERHAD,"EURO  
 ",31/12/2014,3,30/9/2014,20 Nov 2014  ,23663,22156,81669,70373,-266,-933,"3,037","-1,330",-209,"-1,083","2,312","-1,658",2447434
DGB ASIA BERHAD,"DGB  
 ",30/9/2014,4,30/9/2014,25 Nov 2014  ,1241,3141,8781,11561,"-2,662",-415,"-4,850","-2,551","-2,662",-418,"-4,850","-2,524",2447436
BONIA CORPORATION BERHAD,"BONIA  
 ",30/6/2015,1,30/9/2014,27 Nov 2014  ,170879,168399,170879,168399,"20,121","21,044","20,121","21,044","13,931","14,744","13,931","14,744",2447439
MYCRON STEEL BERHAD,"MYCRON  
 ",30/6/2015,1,30/9/2014,27 Nov 2014  ,107943,112310,107943,112310,"-2,661",-637,"-2,661",-637,"-2,181",195,"-2,181",195,2447443
EMICO HOLDINGS BERHAD,"EMICO  
 ",31/3/2015,2,30/9/2014,26 Nov 2014  ,15005,23178,31642,38349,-743,"1,737",-968,"1,587",-722,"1,758",-926,"1,629",2447446
SUMATEC RESOURCES BERHAD,"SUMATEC  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,24819,0,52308,0,"18,400","-3,332","30,488","-10,847","14,505","-8,665","26,477","-19,390",2447453
PJ DEVELOPMENT HOLDINGS BERHAD,"PJDEV  
 ",30/6/2015,1,30/9/2014,27 Nov 2014  ,248468,236132,248468,236132,"39,207","36,129","39,207","36,129","30,225","30,395","30,225","30,395",2447455
PACIFIC & ORIENT BERHAD,"P&O  
 ",30/9/2014,4,30/9/2014,27 Nov 2014  ,129354,142384,541129,563417,"23,816","22,588","69,305","65,735","17,259","19,637","48,676","50,119",2447460
METAL RECLAMATION BHD,"METALR  
 ",30/6/2015,1,30/9/2014,27 Nov 2014  ,4130,16788,4130,16788,"-2,286",-893,"-2,286",-893,"-2,286",-893,"-2,286",-893,2447463
KEY ALLIANCE GROUP BERHAD,"KGROUP  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,19038,7823,35520,12633,"-1,284",52,"-1,360","-1,861","-1,303",45,"-1,379","-1,868",2447468
A & M REALTY BERHAD,"A&M  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,46556,36540,113955,96394,"17,279","15,322","32,837","27,876","13,183","10,777","25,418","20,371",2447471
FURNIWEB INDUSTRIAL PRODUCTS BERHAD,"FURNWEB  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,22681,19603,62270,57930,"1,373","1,927",460,"4,746","1,113","1,655",-182,"3,600",2447472
MUDAJAYA GROUP BERHAD,"MUDAJYA  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,208657,391456,854060,1201443,"7,969","51,846","46,645","164,918","1,665","45,316","30,215","150,905",2447474
GRAND HOOVER BERHAD,"HOOVER  
 ",30/6/2015,1,30/9/2014,28 Nov 2014  ,13984,10134,13984,10134,469,-196,469,-196,231,-324,231,-324,2447495
MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,"MYETFDJ  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,0,3548,3006,17149,"-6,116","3,060","1,618","15,728","-6,084","3,079","1,649","15,644",2447498
MASTER-PACK GROUP BERHAD,"MASTER  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,18845,17940,56477,50424,"1,570","1,064","4,375","3,633","1,327",662,"3,287","2,702",2447502
CARLSBERG BREWERY MALAYSIA BERHAD,"CARLSBG  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,409315,352116,1211272,1167411,"75,306","51,841","197,065","159,756","58,801","39,033","152,659","121,677",2447503
AE MULTI HOLDINGS BERHAD,"AEM  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,9696,10478,33781,32451,530,-71,-942,285,514,-115,-958,241,2447505
IRM GROUP BERHAD,"IRMGRP  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,428,832,2019,8210,"-15,729","-17,955","-18,482","-27,848","-15,729","-14,483","-18,482","-24,376",2447507
SHANGRI-LA HOTELS (MALAYSIA) BERHAD,"SHANG  
 ",31/12/2014,2,30/6/2014,21 Aug 2014  ,120662,118555,257667,246059,"25,405","24,929","65,668","59,630","19,439","17,926","49,639","43,722",2447517
PINEHILL PACIFIC BERHAD,"PINEPAC  
 ",30/6/2014,4,30/6/2014,21 Aug 2014  ,7396,5673,32627,30969,"-10,951","1,838","-31,713","-1,808","-8,919","2,519","-30,332","-4,232",2447521
ALLIANCE FINANCIAL GROUP BERHAD,"AFG  
 ",31/3/2015,1,30/6/2014,11 Aug 2014  ,336739,364177,336739,364177,"173,319","183,956","173,319","183,956","130,810","137,791","130,810","137,791",2447532
BERJAYA ASSETS BERHAD,"BJASSET  
 ",30/6/2014,4,30/6/2014,13 Aug 2014  ,106489,103643,419421,361651,"41,148","22,918","121,755","70,841","27,865","10,374","50,405","52,887",2447537
COCOALAND HOLDINGS BERHAD,"COCOLND  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,65074,59629,124328,127559,"6,210","5,859","10,872","11,377","4,439","4,196","7,852","8,300",2447553
HO HUP CONSTRUCTION COMPANY BHD,"HOHUP  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,88531,16654,170947,39932,"16,734","6,153","28,060","6,989","17,033","6,153","28,359","6,989",2447572
ORIENTAL HOLDINGS BERHAD,"ORIENT  
 ",31/12/2014,2,30/6/2014,21 Aug 2014  ,889255,661803,1622119,1295258,"74,171","31,905","195,462","136,443","51,949","19,413","147,084","100,808",2447580
GROMUTUAL BERHAD,"GMUTUAL  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,18102,38621,37552,69528,"4,369","9,857","9,135","17,301","3,017","7,222","6,526","12,635",2447581
CENTRAL INDUSTRIAL CORPORATION BERHAD,"CICB  
 ",31/12/2014,2,30/6/2014,22 Aug 2014  ,15714,13825,31887,28474,-468,-455,-401,-380,-468,-455,-401,-367,2447582
MAGNUM BERHAD,"MAGNUM  
 ",31/12/2014,2,30/6/2014,21 Aug 2014  ,696596,700319,1489141,1547744,"94,576","86,346","213,424","244,314","69,106","1,567","153,772","155,515",2447585
KRETAM HOLDINGS BERHAD,"KRETAM  
 ",31/12/2014,2,30/6/2014,26 Aug 2014  ,87308,84647,185550,172891,"6,507",-621,"15,112","9,152","2,506",-617,"7,140","6,345",2447596
FAR EAST HOLDINGS BERHAD,"FAREAST  
 ",31/12/2014,2,30/6/2014,22 Aug 2014  ,111598,91532,217134,184732,"29,600","11,683","58,496","30,131","23,372","9,327","46,190","24,037",2447597
KARAMBUNAI CORP BHD,"KBUNAI  
 ",31/3/2015,1,30/6/2014,26 Aug 2014  ,11199,14764,11199,14764,"-11,523","-9,155","-11,523","-9,155","-11,529","-9,291","-11,529","-9,291",2447600
TELEKOM MALAYSIA BERHAD,"TM  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,2821750,2613794,5441786,5038443,"309,323","241,881","588,961","471,431","224,464","222,114","443,289","444,414",2447607
HIAP HUAT HOLDINGS BERHAD,"HHHCORP  
 ",31/12/2014,2,30/6/2014,29 Aug 2014  ,10359,10592,18793,20183,-478,"1,033",-171,"1,969",-523,786,-298,"1,477",2447608
MELEWAR INDUSTRIAL GROUP BERHAD,"MELEWAR  
 ",30/6/2014,4,30/6/2014,29 Aug 2014  ,150623,188779,664554,760430,"136,322","-3,201","143,456","5,677","103,482","-127,936","13,092","-215,712",2447614
APM AUTOMOTIVE HOLDINGS BERHAD,"APM  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,340001,338282,648125,623609,"37,687","48,985","74,896","88,506","28,972","38,123","57,731","68,842",2447622
SINOTOP HOLDINGS BERHAD,"SINOTOP  
 ",31/12/2014,2,30/6/2014,29 Aug 2014  ,43028,41570,71986,72269,"1,480","1,947","3,243","2,086","1,079","1,416","2,414","1,457",2447626
MEDIA CHINESE INTERNATIONAL LIMITED,"MEDIAC  
 ",31/3/2015,1,30/6/2014,28 Aug 2014  ,370758,405556,370758,405556,"40,121","60,614","40,121","60,614","27,110","43,548","27,110","43,548",2447645
PPB GROUP BERHAD,"PPB  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,956644,818489,1839829,1582335,"192,243","198,852","365,951","455,168","170,651","185,003","325,511","427,437",2447655
HAP SENG CONSOLIDATED BERHAD,"HAPSENG  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,1097385,826757,1955857,1619226,"351,266","259,273","551,218","393,957","258,758","205,335","404,630","317,302",2447658
EVERSENDAI CORPORATION BERHAD,"SENDAI  
 ",31/12/2014,2,30/6/2014,28 Aug 2014  ,222544,247506,453265,490688,"7,762","16,921","19,070","42,385","6,782","16,624","17,131","41,703",2447661
P.A. RESOURCES BERHAD,"PA  
 ",31/3/2015,1,30/6/2014,27 Aug 2014  ,36350,28019,36350,28019,736,872,736,872,736,872,736,872,2447673
SHH RESOURCES HOLDINGS BERHAD,"SHH  
 ",30/6/2014,4,30/6/2014,28 Aug 2014  ,23472,23305,105392,91576,"1,877","1,030","9,363","1,794","1,714","1,000","8,233","1,548",2447674
MK LAND HOLDINGS BERHAD,"MKLAND  
 ",30/6/2014,4,30/6/2014,28 Aug 2014  ,88096,128861,488018,468239,"19,404","24,690","71,886","63,767","29,877","14,381","64,819","40,345",2447687
CIMB FTSE CHINA 25,"CIMBC25  
 ",30/6/2014,4,30/6/2014,29 Aug 2014  ,388,1469,5832,2,263,"1,557","5,546",289,221,"1,643","5,506",379,2447696
INIX TECHNOLOGIES HOLDINGS BERHAD,"INIX  
 ",31/7/2014,4,31/7/2014,30 Sept 2014  ,2576,2555,4950,4669,-508,"1,013","-1,373",124,-508,"1,013","-1,373",124,2447702
INGENUITY CONSOLIDATED BERHAD,"INGENCO  
 ",31/3/2015,1,30/6/2014,2 Sept 2014  ,93583,150582,93583,150582,"-2,443","-2,254","-2,443","-2,254","-2,443","-2,652","-2,443","-2,652",2447718
SCGM BHD,"SCGM  
 ",30/4/2015,1,31/7/2014,12 Sept 2014  ,27276,25744,27276,25744,"4,593","3,384","4,593","3,384","3,543","3,127","3,543","3,127",2447720
BARAKAH OFFSHORE PETROLEUM BERHAD,"BARAKAH  
 ",31/12/2014,2,30/6/2014,28 Aug 2014  ,159707,57716,326894,211785,"16,785","7,150","34,482","35,894","12,338","5,366","25,683","30,434",2447721
MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,"MHB  
 ",31/12/2014,3,30/9/2014,5 Nov 2014  ,539788,449666,2192162,2158212,"20,068","41,116","79,850","150,525","39,108","36,658","113,676","135,177",2447724
JAYCORP BERHAD,"JAYCORP  
 ",31/7/2014,4,31/7/2014,26 Sept 2014  ,59946,54581,236327,209281,"3,383",-97,"13,594","9,916","2,616","-1,017","10,537","7,088",2447729
FORMOSA PROSONIC INDUSTRIES BERHAD,"FPI  
 ",31/12/2014,3,30/9/2014,10 Nov 2014  ,144991,173288,365386,428184,"4,163","10,838","10,088","20,685","3,425","9,739","8,521","19,615",2447732
CARING PHARMACY GROUP BERHAD,"CARING  
 ",31/5/2015,1,31/8/2014,29 Oct 2014  ,88395,0,88395,0,"1,072",0,"1,072",0,772,0,772,0,2447733
MELATI EHSAN HOLDINGS BERHAD,"MELATI  
 ",31/8/2014,4,31/8/2014,30 Oct 2014  ,70475,80851,323143,226235,"3,351","8,071","26,351","16,755","2,410","6,280","19,325","12,304",2447735
WONG ENGINEERING CORPORATION BERHAD,"WONG  
 ",31/10/2014,3,31/7/2014,30 Sept 2014  ,7543,8043,18643,23382,"-1,071",-587,"-3,851","-1,814","-1,072",-601,"-3,852","-1,822",2447740
SCH GROUP BERHAD,"SCH  
 ",31/8/2014,4,31/8/2014,28 Oct 2014  ,16650,0,65423,0,"2,395",0,"10,348",0,"1,850",0,"7,191",0,2447754
CHINA STATIONERY LIMITED,"CSL  
 ",31/12/2014,3,30/9/2014,14 Nov 2014  ,60921,242182,285947,740780,"7,951","71,209","-187,498","242,923","4,889","50,739","-210,420","172,041",2447771
SCOPE INDUSTRIES BERHAD,"SCOPE  
 ",30/6/2015,1,30/9/2014,18 Nov 2014  ,6197,7037,6197,7037,557,273,557,273,214,187,214,187,2447784
MALAYSIAN BULK CARRIERS BERHAD,"MAYBULK  
 ",31/12/2014,3,30/9/2014,26 Nov 2014  ,62983,62820,196157,188931,"-2,628","8,607","40,038","31,342","-2,894","8,114","39,323","30,322",2447789
ENCORP BERHAD,"ENCORP  
 ",31/12/2014,3,30/9/2014,26 Nov 2014  ,56253,168601,268680,402326,"-10,022","14,845","12,078","38,360","-9,630","10,399","3,813","25,180",2447793
UZMA BERHAD,"UZMA  
 ",31/12/2014,3,30/9/2014,25 Nov 2014  ,123066,105763,327358,292520,"12,838","12,695","37,214","36,821","12,883","9,539","32,278","28,401",2447794
MEDIA CHINESE INTERNATIONAL LIMITED,"MEDIAC  
 ",31/3/2015,2,30/9/2014,26 Nov 2014  ,399142,411654,777925,825987,"45,241","55,024","86,231","116,950","32,969","40,032","60,666","84,522",2447803
K.SENG SENG CORPORATION BERHAD,"KSSC  
 ",31/12/2014,3,30/9/2014,20 Nov 2014  ,26378,21781,78172,63725,"3,029","11,442","5,716","12,637","2,333","11,307","4,396","12,217",2447815
YTL LAND & DEVELOPMENT BERHAD,"YTLLAND  
 ",30/6/2015,1,30/9/2014,20 Nov 2014  ,27314,116917,27314,116917,"5,372","7,205","5,372","7,205","4,127","4,509","4,127","4,509",2447821
N2N CONNECT BERHAD,"N2N  
 ",31/12/2014,3,30/9/2014,20 Nov 2014  ,9311,8008,25870,22767,"2,034","1,851","5,224","4,247","1,923","1,798","5,094","4,168",2447825
DAYA MATERIALS BERHAD,"DAYA  
 ",31/12/2014,3,30/9/2014,25 Nov 2014  ,178707,142378,482103,373581,"9,657","10,095","21,450","27,653","6,662","7,118","13,450","19,282",2447830
UOA REAL ESTATE INVESTMENT TRUST,"UOAREIT  
 ",31/12/2014,3,30/9/2014,20 Nov 2014  ,22006,21618,66185,64805,"10,799","11,195","34,513","35,416","10,799","11,195","34,513","35,416",2447832
MERCURY INDUSTRIES BERHAD,"MERCURY  
 ",31/12/2014,3,30/9/2014,20 Nov 2014  ,11568,11998,34749,36213,"1,815","2,104","5,330","6,558","1,343","1,639","3,789","4,983",2447836
QL RESOURCES BERHAD,"QL  
 ",31/3/2015,2,30/9/2014,20 Nov 2014  ,656541,605145,1310097,1184684,"62,257","53,091","112,590","96,816","49,475","43,309","89,349","79,071",2447846
APFT BERHAD,"APFT  
 ",31/3/2015,2,30/9/2014,21 Nov 2014  ,24414,3868,52645,8816,"1,364","-4,660","3,368","-8,883",819,"-4,668","2,277","-8,891",2447853
MLABS SYSTEMS BERHAD,"MLAB  
 ",31/12/2014,3,30/9/2014,24 Nov 2014  ,497,153,1454,605,-203,-242,-598,-549,-203,-242,-598,-549,2447854
KAWAN FOOD BERHAD,"KAWAN  
 ",31/12/2014,3,30/9/2014,24 Nov 2014  ,38226,33677,113346,94399,"7,125","5,621","19,733","15,345","5,775","4,273","15,369","11,713",2447856
DUTCH LADY MILK INDUSTRIES BERHAD,"DLADY  
 ",31/12/2014,3,30/9/2014,25 Nov 2014  ,240491,263759,736402,719733,"38,580","57,084","102,552","143,062","28,549","42,268","75,889","105,864",2447864
NOVA MSC BERHAD,"NOVAMSC  
 ",31/3/2015,2,30/9/2014,27 Nov 2014  ,7101,8899,15818,17162,642,266,"1,091",632,642,266,"1,091",632,2447868
VOIR HOLDINGS BERHAD,"VOIR  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,43821,47139,124661,130762,"1,280","1,062","-2,537",356,"1,014",464,"-2,905",-738,2447879
MESB BERHAD,"MESB  
 ",31/3/2015,2,30/9/2014,26 Nov 2014  ,21898,23588,40100,44577,"1,571","3,643",832,"4,855","1,576","3,314",831,"4,148",2447890
MEXTER TECHNOLOGY BERHAD,"MEXTER  
 ",31/12/2014,3,30/9/2014,27 Nov 2014  ,15172,7198,34617,26696,316,-862,"-1,146","-2,046",288,-863,"-1,175","-2,047",2447899
IDEAL UNITED BINTANG BERHAD,"IDEALUBB  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,631,3840,4607,14648,-778,-812,"-1,961",-578,-778,-822,"-1,961",-611,2447910
ASIA FILE CORPORATION BHD,"ASIAFLE  
 ",31/3/2015,2,30/9/2014,28 Nov 2014  ,92021,83192,196343,166324,"13,967","17,931","33,014","38,476","10,802","13,946","25,772","30,660",2447916
NATIONWIDE EXPRESS COURIER SERVICES BERHAD,"NATWIDE  
 ",31/3/2015,2,30/9/2014,28 Nov 2014  ,23671,22858,47328,46411,153,-933,-36,"-2,550",-56,-755,-266,"-2,514",2447922
D.B.E. GURNEY RESOURCES BERHAD,"DBE  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,42401,41509,118839,114449,"-2,104",57,"-5,060",274,"-2,104",231,"-5,060","1,958",2447924
LEN CHEONG HOLDING BERHAD,"LCHEONG  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,5843,6167,16947,17477,"-3,460",-519,"-3,174",-646,"-3,460",-519,"-3,174",-646,2447930
GOODWAY INTEGRATED INDUSTRIES BERHAD,"GOODWAY  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,54188,68729,163341,212376,"-3,106","1,780","-1,004","7,836","-3,753","1,152","-2,604","5,044",2447935
MULPHA INTERNATIONAL BERHAD,"MULPHA  
 ",31/12/2014,3,30/9/2014,28 Nov 2014  ,296797,176931,601530,509396,"60,750","16,999","38,584","-76,295","49,942","11,233","53,213","-71,662",2447941
ZECON BERHAD,"ZECON  
 ",30/6/2014,4,30/6/2014,21 Aug 2014  ,42832,58879,175229,160175,"-11,755","-16,965","-6,507","-16,692","-13,421","-19,911","-14,020","-21,913",2447950
IBRACO BERHAD,"IBRACO  
 ",31/12/2014,2,30/6/2014,21 Aug 2014  ,56370,37797,115375,50844,"8,189","4,200","17,473","6,311","5,897","3,139","12,600","4,688",2447952
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,"BHIC  
 ",31/12/2014,2,30/6/2014,13 Aug 2014  ,66471,61835,130675,126240,"11,668","11,146","12,479","16,370","11,169","10,281","11,948","15,285",2447957
ISKANDAR WATERFRONT CITY BERHAD,"IWCITY  
 ",31/12/2014,2,30/6/2014,20 Aug 2014  ,63204,65201,99408,96048,"1,691","6,294","2,611","6,912",-477,"5,421","1,509","5,557",2447960
HUP SENG INDUSTRIES BERHAD,"HUPSENG  
 ",31/12/2014,2,30/6/2014,13 Aug 2014  ,68254,66126,132704,125999,"13,284","14,593","26,344","26,735","9,740","10,706","19,298","19,610",2447961
MALAYSIA PACKAGING INDUSTRY BERHAD,"MAYPAK  
 ",31/12/2014,2,30/6/2014,22 Aug 2014  ,20682,19280,41743,36580,-674,108,-808,542,-674,108,-808,542,2447966
SUNSURIA BERHAD,"SUNSURIA  
 ",31/3/2015,1,30/6/2014,12 Aug 2014  ,18349,5036,18349,5036,"2,213",613,"2,213",613,"1,263",447,"1,263",447,2447970
SAMCHEM HOLDINGS BERHAD,"SAMCHEM  
 ",31/12/2014,2,30/6/2014,22 Aug 2014  ,165063,139422,318751,264643,"2,800","3,511","8,060","9,355","1,826","2,461","5,573","6,778",2447987
SALCON BERHAD,"SALCON  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,33274,14977,73696,51191,"-2,750","-3,705","-2,899","-4,368","-4,823","8,397","26,187","16,138",2447995
GLOBAL ORIENTAL BERHAD,"GOB  
 ",31/3/2015,1,30/6/2014,27 Aug 2014  ,92618,74172,92618,74172,"9,563","4,813","9,563","4,813","6,078","3,240","6,078","3,240",2447997
RUBBEREX CORPORATION (M) BERHAD,"RUBEREX  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,73816,77672,144725,150744,"5,103",523,"9,585","1,598","3,091",268,"5,909",440,2447999
TFP SOLUTIONS BERHAD,"TFP  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,31603,27351,44260,37052,201,"1,765",679,"2,012",26,"1,535",281,"1,712",2448005
GUNUNG CAPITAL BERHAD,"GUNUNG  
 ",31/12/2014,2,30/6/2014,27 Aug 2014  ,23475,23493,46182,47116,"5,598","6,351","11,134","12,652","4,166","4,827","8,337","9,636",2448006
WATTA HOLDING BERHAD,"WATTA  
 ",30/9/2014,3,30/6/2014,27 Aug 2014  ,9615,8634,28953,21211,307,426,-375,"1,027",250,226,-414,754,2448008
M N C WIRELESS BERHAD,"MNC  
 ",31/12/2014,2,30/6/2014,26 Aug 2014  ,3916,2573,6769,5199,-83,-722,-381,"-1,430",-82,-722,-379,"-1,430",2448009
OCB BERHAD,"OCB  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,67798,72138,127678,141525,"2,159","2,503","4,588","4,814","1,492","1,536","3,208","3,222",2448014
BOUSTEAD HOLDINGS BERHAD,"BSTEAD  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,2588200,2390100,5088000,4921200,"109,900","93,100","243,200","268,000","67,700","74,700","159,100","208,800",2448015
TANJUNG OFFSHORE BERHAD,"TGOFFS  
 ",31/12/2014,2,30/6/2014,25 Aug 2014  ,34549,81813,68805,171833,-909,"6,210","1,339","11,077","-1,213","6,664",882,"9,903",2448021
APB RESOURCES BERHAD,"APB  
 ",30/9/2014,3,30/6/2014,26 Aug 2014  ,30246,27571,142977,99609,"1,397","6,022","12,068","9,397","1,027","4,479","8,956","6,936",2448031
LUSTER INDUSTRIES BHD.,"LUSTER  
 ",31/12/2014,2,30/6/2014,22 Aug 2014  ,26717,43563,53004,72674,61,"3,398",-643,"5,049",-72,"2,211",-993,"3,201",2448034
RESINTECH BERHAD,"RESINTC  
 ",31/3/2015,1,30/6/2014,29 Aug 2014  ,25027,20894,25027,20894,752,848,752,848,617,567,617,567,2448050
OVERSEA ENTERPRISE BERHAD,"OVERSEA  
 ",31/3/2015,1,30/6/2014,26 Aug 2014  ,12602,12525,12602,12525,-679,-419,-679,-419,-797,-586,-797,-586,2448058
EG INDUSTRIES BERHAD,"EG  
 ",30/6/2014,4,30/6/2014,29 Aug 2014  ,233713,193119,993700,800248,"2,014",40,"5,684","3,750","-1,214","-1,790","2,106","1,420",2448063
